ts,date,open,high,low,close
1786741200,2026-08-14 21:00,62878.5,62912.2,62846.7,62897.6
1786744800,2026-08-14 22:00,62897.7,62936.7,62770.9,62856.8
1786748400,2026-08-14 23:00,62856.9,63040.3,62838.4,63015.0
1786752000,2026-08-15 00:00,63014.9,63039.0,62964.4,62991.7
1786755600,2026-08-15 01:00,62991.7,63015.0,62966.7,63010.7
1786759200,2026-08-15 02:00,63010.8,63114.0,63007.5,63113.6
1786762800,2026-08-15 03:00,63113.6,63170.0,63014.0,63030.3
1786766400,2026-08-15 04:00,63030.3,63127.5,63030.3,63092.5
1786770000,2026-08-15 05:00,63092.5,63127.5,63013.4,63055.4
1786773600,2026-08-15 06:00,63055.5,63108.3,63003.8,63087.3
1786777200,2026-08-15 07:00,63087.2,63104.3,63011.0,63049.8
1786780800,2026-08-15 08:00,63049.9,63058.4,62902.0,62908.5
1786784400,2026-08-15 09:00,62908.6,63019.9,62890.2,62999.1
1786788000,2026-08-15 10:00,62999.2,63025.4,62971.9,63015.6
1786791600,2026-08-15 11:00,63015.7,63031.4,62967.9,62993.1
1786795200,2026-08-15 12:00,62993.0,63030.4,62920.9,63028.8
1786798800,2026-08-15 13:00,63028.8,63058.2,62992.2,63031.3
1786802400,2026-08-15 14:00,63031.2,63031.3,62961.9,63011.7
1786806000,2026-08-15 15:00,63011.7,63096.7,62997.9,63068.0
1786809600,2026-08-15 16:00,63068.1,63097.3,63032.7,63066.3
1786813200,2026-08-15 17:00,63066.3,63077.8,63032.1,63043.5
1786816800,2026-08-15 18:00,63043.4,63083.0,63011.6,63026.3
1786820400,2026-08-15 19:00,63026.3,63093.6,63026.2,63093.6
1786824000,2026-08-15 20:00,63093.6,63093.6,63040.1,63077.1
1786827600,2026-08-15 21:00,63077.0,63138.7,63068.9,63123.7
1786831200,2026-08-15 22:00,63123.8,63141.6,63096.6,63100.7
1786834800,2026-08-15 23:00,63100.7,63110.3,63049.9,63053.9
1786838400,2026-08-16 00:00,63053.9,63057.4,63032.9,63051.1
1786842000,2026-08-16 01:00,63051.0,63052.4,62975.9,63051.3
